Tags,Article Content,Date posted,Author
Chinese probe shares 1st panoramic images of Moon's far side,"Chinese space agency CNSA on Friday shared the first panoramic images of the Moon's far side, captured by its lunar probe Chang'e 4. The images, including a 360º shot, were sent back via China's Moon-orbiting relay satellite Queqiao from about 4,55,000 km. CNSA has also released a 12-minute-long video of the probe's landing made by stitching over 4,700 images together.",11 Jan,Gaurav Shroff
Long space missions may cause back pain for 4 years: Study,"A study by MIT researchers into long-term health in zero gravity has suggested that long-duration space missions cause back pains which may last up to four years. Reductions in the size and density of crucial spine muscles of astronauts who spent several months on the ISS were observed. These results can be used to guide countermeasures in future, scientists concluded.",12 Jan,Gaurav Shroff
'Cow' blast in space could be a black hole's birth: Study,"A study by Northwestern University researchers suggests the mysterious 'Cow' blast, first observed on June 16, 2018, was generated by birth of a black hole or neutron star. However, another study by Maryland University argues it could be a black hole shredding a passing star. The blast had occurred inside or near galaxy 'CGCG 137-068', about 200 million light-years away.",12 Jan,Arshiya Chopra
"Govt spending ₹20,000cr to fix accident-prone spots: Gadkari","Union Minister Nitin Gadkari on Friday said the government is spending above ₹20,000 crore to rectify accident-prone spots, and to make underpasses, flyovers across India to reduce road-related accidents. ""Government is also taking preventive measures in the auto industry like seat belt reminders...One of the major reasons for road accidents is flawed engineering,"" he added.",11 Jan,Arshiya Chopra
"Woman falls in gap between train & platform, 2 men save her","A video shared online shows a woman, who fell into the gap between the railway platform and a moving train, being rescued by two men at Gujarat's Dahod Railway Station. The woman slipped onto the tracks while deboarding the moving train and got dragged along as she held onto the train's door handle, before being rescued by the men.",11 Jan,Krishna Veera Vanamali
Crime rate decreases in UP; DGP credits effective policing,"After official reports claimed crime rate has fallen in Uttar Pradesh over the past one year, state DGP OP Singh said it was due to ""effective policing and prompt action"". Cases of rape and murder decreased by 7.63% and 7.08% respectively in 2018 as compared to 2017. Cases of kidnapping for ransom came down by 30.43% in 2018.",12 Jan,Krishna Veera Vanamali
"Army Major, soldier martyred in IED blast along LoC in J&K","An Army Major and a soldier were martyred in an improvised explosive device (IED) blast along the Line of Control (LoC) in Jammu and Kashmir's Rajouri on Friday. Following the blast, the Army personnel were taken to a hospital where they succumbed to their injuries. The IED reportedly went off when an Army vehicle passed through the area.",12 Jan,Krishna Veera Vanamali
"Israel's 'apartheid road' separates Palestinians, Jewish settlers","Israel has opened a new highway in the occupied West Bank which is divided by a wall, with one side for Jewish settlers and another for Palestinians. Palestine joined the critics who have labelled the highway 'apartheid road'. Israel said the highway is ""an example of the ability to create coexistence between Israelis and Palestinians while addressing the security challenges"".",12 Jan,Krishna Veera Vanamali
"How many Pakistanis held at US-Mexico border, asks Trump","During a visit to the state of Texas on Thursday, US President Donald Trump asked officials how many Pakistanis were apprehended at the border with Mexico earlier this week. Trump asked the question when he was informed by officials that people from several South Asian nations had attempted to illegally enter the US through the border with Mexico.",12 Jan,Rahel Philipose
Saudi girl who fled abusive family granted asylum in Canada,"Rahaf Mohammed al-Qunun, the 18-year-old Saudi girl who fled alleged abuse by her family, has been granted asylum in Canada, the Thai immigration chief said. She will leave for Canada from Bangkok on Friday night. Rahaf had last week fled to Thailand saying she feared her family will kill her upon return to Saudi Arabia as she has renounced Islam.",11 Jan,Nandini Sinha
Not someone who takes shit: Zareen on slapping man who misbehaved,"Actress Zareen Khan, while recalling an incident wherein she slapped a man while being mobbed in Aurangabad, said, ""I am not someone who is up for shit."" ""I don't know what's this sick mentality of men who want to grab women in an inappropriate manner. It's high time that women should give it back to such men,"" she added. ",11 Jan,Nandini Sinha
KKR CEO wishes Dravid on b'day by replying to Trump's 'Wall' tweet,"KKR CEO Venky Mysore wished Rahul Dravid on his birthday by replying to US President Donald Trump's tweet on US-Mexico border wall. ""Sorry...Mr President, we aren't giving up our wall & it's his B'day today! Happy B'day to a gentleman...a Champion...Rahul Dravid,"" he replied to Trump's tweet which read, ""Sadly, there can be no REAL Border Security without the Wall!""",11 Jan,Anmol Sharma
"Man locks Indian football fans in cage, forces them to support UAE","A video purportedly showing a man locking up Indian football fans in a bird cage ahead of UAE-India Asian Cup match went viral. In the video, the man, who was later detained, can be seen brandishing a stick and asking them to support the UAE. Police said the behaviour in the video didn't reflect traditions and values of the UAE. ",11 Jan,Anmol Sharma
Sad day for everyone you've had an impact on: Kyrgios on Murray,"World number 51 Nick Kyrgios took to Instagram to share a message for ex-world number one Andy Murray, who earlier today hinted that Australian Open could be his last tournament as a professional player. ""You are one crazy tennis player, miles better than me...it's a sad day for the sport and for everyone you've had an impact on,"" he wrote. ",11 Jan,Anmol Sharma
Pixel user puts anti-Google posters around Delhi; Google responds,"Google has responded to a Pixel owner, who had put up posters around Delhi advising people not to buy the smartphone after claiming that he paid ₹26,851 to its service centre for a failed repair. ""We offered free repair or a new device...He instead demanded two next-gen Pixel phones. Unfortunately, we're unable to comply with his unreasonable demands,"" Google said. ",11 Jan,Anmol Sharma
World's 1st commercial foldable smartphone shown at CES,"US-headquartered startup Royole displayed the world's first commercial foldable smartphone FlexPai at Consumer Electronics Show (CES) 2019 in Las Vegas. The device, with a 7.8-inch display, works on a Snapdragon 855 chipset and runs a customised version of Android Pie. Royole said that FlexPai is already on sale in China for 8,999 yuan (over ₹93,000) and can be ordered online.",11 Jan,Anmol Sharma
Man falls in truck after accident; unaware driver takes body 400km,"The body of a man from Tamil Nadu's Tiruvallur, who met with an accident near his house, was found 420 kilometres away in Andhra Pradesh. Sudhakar was riding a motorcycle when he was allegedly hit by a car and due to the collision's impact, he fell into a passing truck. The truck driver, unaware of the accident, kept driving.",11 Jan,Anmol Sharma
"2 college boys learn how to hot-wire on YouTube, steal 10 scooters","Two college students have been arrested in Mumbai for allegedly stealing 10 scooters after learning hot-wiring from YouTube videos. The accused committed the crime during early morning hours to avoid being caught on CCTV cameras or by people and parked the stolen scooters in isolated places. Even though they sold five of the stolen scooters, police recovered nine of them.",11 Jan,Anmol Sharma
Pak should be last country to lecture us on plurality: India,"Responding to Pakistan PM Imran Khan's comments on the treatment of minorities in India, Foreign Ministry spokesperson Raveesh Kumar said, ""Pakistan should be the last country to lecture us on plurality and inclusive society."" The world is aware of the situation of minorities in Pakistan, he added. Pakistan's statements intended to deflect attention from its own problems, he further said.",11 Jan,Anmol Sharma
"Who was journalist Ram Chander, killed on orders of Ram Rahim?","Journalist Ram Chander Chhatrapati, who was killed on orders of Dera Sacha Sauda's Gurmeet Ram Rahim, ran a regional daily newspaper 'Poora Sach'. Chhatrapati was shot dead in 2002 as he stepped out of his residence in Haryana's Sirsa. He had published an anonymous letter in his newspaper alleging how women sadhvis in the dera were raped by Ram Rahim.",11 Jan,Gaurav Shroff
Huawei worker arrested in Poland over alleged spying for China,"Poland has arrested a Huawei employee and a former Polish security official over alleged spying for China, Polish authorities said on Friday. The Huawei employee is a Chinese citizen responsible for sales to public-sector clients in Poland, according to Poland's state broadcaster. This comes amid allegations that Huawei's devices could be used by China for spying on other countries.",11 Jan,Gaurav Shroff
70 private jets stranded in Saudi post corruption crackdown: Report,"As many as 70 private jets are stranded at airports across Saudi Arabia following the corruption crackdown launched in late 2017, according to Reuters. Some jets were reportedly handed over to the government in settlements reached after the campaign. Others belong to Saudis who are reluctant to use the planes to avoid the display of wealth, Reuters said quoting sources.",11 Jan,Kanishka Pandey
'Path to citizenship' could be coming soon: Trump to H-1B holders,"US President Donald Trump on Friday said he is planning changes to H-1B visas that would create ""simplicity and certainty to your stay, including a potential path to citizenship"". ""We want to encourage talented and highly skilled people to pursue career options in the US,"" Trump added. Nearly 75% of H-1B visa holders as of September 2018 were Indian citizens.",11 Jan,Kanishka Pandey
Up and about: Hrithik shares pic post dad's cancer surgery,"Hrithik Roshan took to Twitter to share a picture with his father Rakesh Roshan and their family after his father underwent surgery for throat cancer. ""[H]e’s up and about...Thank you all for being with him and helping him power through,"" the actor wrote. Hrithik on Tuesday revealed his father was diagnosed with early stage throat cancer a few weeks ago.",11 Jan,Arshiya Chopra
Absolutely illogical: Emraan on 'Cheat India' title change,"Emraan Hashmi, whose upcoming film 'Cheat India' was renamed as 'Why Cheat India' following objections from the Censor Board, has said the board's decision was ""absolutely illogical"". ""Changing the film’s title at the last moment does not make any sense,"" Emraan added. The Censor Board reportedly proposed the change as it felt the original title was misleading for the audience. ",11 Jan,Arshiya Chopra
Murray embraces mother after announcing impending retirement,"Former world number one tennis player Andy Murray embraced his mother Judy Murray after announcing his impending retirement in a press conference ahead of the Australian Open 2019. Murray, who broke down in tears during his announcement, wrote in an Instagram post, ""Best way to feel better after a tough day is a big cuddle from your mum.""",11 Jan,Arshiya Chopra
Dhoni over in-form Pant: Farokh Engineer questions selection,"Speaking about the Indian team selection ahead of the India-Australia ODI series, former Indian cricketer Farokh Engineer questioned the selection of MS Dhoni over an 'in-form' Rishabh Pant. ""He [Pant] will improve. I wish I could have a couple of times with him to make him a good wicketkeeper,"" Engineer said about Pant's wicket-keeping skills.",11 Jan,Arshiya Chopra
"Karthikeyan ends single seater career, joins sports car racing","India's first Formula One driver Narain Karthikeyan on Friday made a full-time switch to sports car racing, ending his around two-decade-old single-seater racing career. Karthikeyan, who has secured a spot in Japan's Super GT series, will be competing with the likes of former Formula 1 world champion Jenson Button. The 41-year-old last raced in Formula 1 back in 2012.",11 Jan,Nandini Sinha
"Forever favourite, forever champion: Sania on Andy Murray","Reacting to the impending retirement of former number one tennis player Andy Murray, Indian tennis player Sania Mirza wrote, ""#Andy Murray #foreverfavourite #foreverachampion @andy_murray."" ""You are a champion on and off the court. So sorry you cannot retire on your own terms, but remember to look to the future,"" read part of former women's champion Billie Jean King's tweet.",11 Jan,Nandini Sinha
Google builds theme park ride in CES parking lot to show Assistant,"Google has built a theme park ride to display its AI-powered Assistant's features at CES (Consumer Electronics Show) 2019 in Las Vegas. A two-storey building was built by Google in the middle of the event's parking lot, with the ride based on the upper floor. A 360° video tour of the ride can also be accessed by Assistant users worldwide.",11 Jan,Ankush Verma
"BJP wants to make Ram mandir, Congress creating hurdles: Shah","BJP President Amit Shah on Friday said that BJP is committed to the construction of Ram Temple as promised in 2014. ""We are trying that the case reaches its conclusion in the Supreme Court...but Congress is creating obstacles in the process,"" he added. The SC has deferred hearing in the Ram Janmabhoomi-Babri Masjid land title dispute to January 29.",11 Jan,Ankush Verma
"Here to listen, not speak my 'mann ki baat': Rahul in Dubai","Addressing Indian workers in Dubai on Friday, Congress President Rahul Gandhi said he is there to listen to the workers and not to tell them his ""mann ki baat"". Rahul apparently said this in reference to PM Narendra Modi's radio broadcast 'Mann Ki Baat'. ""I will stand by all of you...You've made Indians of every religion...state and...caste proud,"" Rahul added.",11 Jan,Nandini Sinha
Scientists close to observing 1st ever photo of a black hole,"Scientists have revealed they have obtained ""very high-quality data at the very high resolutions necessary to observe the shadow"" of the black hole at Milky Way galaxy's centre. Scientists are in the final phase of studying the data collected by the Event Horizon Telescope, an international collaboration aiming to photograph the first black hole through a virtual Earth-sized telescope array.",11 Jan,Nandini Sinha
1.2 lakh toilets set up in Prayagraj for Kumbh Mela: CM Yogi,"Uttar Pradesh CM Yogi Adityanath has announced that over 1.2 lakh eco-friendly toilets and above 40,000 street lights have been installed in Prayagraj ahead of the upcoming Kumbh Mela in the city.  ""For the first time, waterways, roadways, and airways have extended connectivity to...Kumbh,"" Yogi added. He also said President Ram Nath Kovind will attend the Kumbh on January 17.",11 Jan,Krishna Veera Vanamali
Drunk man kills daughter diagnosed with heart problem,"A 44-year-old man, Nagaraj Poojary, allegedly killed his 11-year-old daughter in an inebriated state on Wednesday. The deceased, who underwent bypass surgery in 2017, was diagnosed with more heart complications and Nagaraj didn't take it well and drank frequently, the family's neighbour said. According to the police, Nagaraj killed his daughter by feeding her water mixed with pesticide. ",11 Jan,Krishna Veera Vanamali
"Canada police can now demand breath samples in bars, at home","Police in Canada can now demand breath samples from people in bars, at home or anywhere else under a revised law aimed at curbing drunk driving. The new rules make it a criminal offence to be over the legal blood alcohol level within two hours of driving. Refusing a test may lead to fine, licence suspension and jail, among others.",11 Jan,Krishna Veera Vanamali
"Once I retire, I won't pick up the bat again: Virat Kohli","India captain Virat Kohli has said once he retires from cricket, he won't pick up the bat again. ""I'll be totally spent the day I finish...Once I'm done, I'll be done, and I won't be seen around the scene,"" he added. Kohli was responding to a journalist who asked him if he'd like to play Big Bash League after retirement. ",11 Jan,Anmol Sharma
Android Co-founder paid money to 'own' women: Google investor,"Google shareholder James Martin has said Android Co-founder Andy Rubin was alleged to have engaged in human sex trafficking while at Google. Rubin paid ""hundreds of thousands of dollars to women to be, in Rubin's own words, 'owned' by him"", Martin claimed. Martin said this in a lawsuit against Google-parent Alphabet's board for covering up sexual harassment at the company.",11 Jan,Anmol Sharma
Deeply inspired by Pak PM and Kejriwal: IAS topper from J&K,"The first IAS topper from Jammu & Kashmir, Shah Faesal, who announced his resignation from the civil services on Wednesday, has said he is deeply inspired by Pakistan PM Imran Khan and Delhi CM Arvind Kejriwal. ""If the youngsters of Kashmir give me support, I will do the retake of Kejriwal and Imran Khan in the state,"" Faesal added. ",11 Jan,Kanishka Pandey
It's due to Cong: Chidambaram as govt doubles GST exemption limit,"After the GST Council doubled the exemption limit from ₹20 lakh to ₹40 lakh, Congress leader P Chidambaram said, ""GST Council is sorting out the mess created by the government, thanks to the active participation and wise advice of six Congress State Finance Ministers."" ""Decisions taken yesterday were largely because of the initiative taken by Congress Finance Ministers,"" he added.",11 Jan,Kanishka Pandey
WB CM mocks PM Modi for using teleprompter for english speeches,"Taking a jibe at PM Narendra Modi, West Bengal CM Mamata Banerjee on Thursday said, ""People think he speaks good English. But does he speak it? He simply reads out written speeches with the help of a teleprompter."" ""One can simply read out from written speeches. We don't indulge in such a practice. We speak impromptu,"" she added.",11 Jan,Gaurav Shroff
"Will bring Indian students to ISRO, don't need to go to NASA: Sivan","ISRO Chairman K Sivan has said that the space agency will set up six incubation and research centres across the country. ""We will bring the Indian students to ISRO. Why do the Indian students need to go to NASA?"" he added. The ISRO chief further said that Indian astronauts could be trained at Institute of Aerospace Medicine (IAM) in Bengaluru.",11 Jan,Gaurav Shroff
Boy jumps in front of metro after fight with family over phone use,"An 18-year-old boy attempted suicide by jumping in front of a metro train in Bengaluru on Friday, allegedly after an argument with his parents over excessive mobile phone usage by him. The boy had failed Class 10 exams two years ago and was reportedly pressurised by his mother to retake them. CM HD Kumaraswamy also visited the boy in hospital.",11 Jan,Arshiya Chopra
"277 passengers, crew members fall sick on Royal Caribbean ship","As many as 277 passengers and crew members aboard the Royal Caribbean's Oasis of the Seas cruise ship became sick with a gastrointestinal illness, according to the cruise line. The cruise ship will return to a Florida port earlier because of the illness. Lab test results are awaited to determine whether those sick were stricken by norovirus.",11 Jan,Arshiya Chopra
"Infosys third-quarter profit drops nearly 30% to ₹3,609 crore","India's second-largest IT services firm Infosys reported a nearly 30% fall in third-quarter profit at ₹3,609 crore, missing analyst estimates. The Bengaluru-based company made a profit of ₹5,129 crore a year ago, helped by tax benefits from the firm's deal with the US Internal Revenue Service. Infosys' revenue from operations in the quarter rose 20.3% to ₹21,400 crore.",11 Jan,Arshiya Chopra
Wipro's aerospace business starts supplying parts to Boeing,"The aerospace unit of Wipro Infrastructure Engineering (WIN) has started shipments of part supplies to Boeing from its plant in Devanahalli near Bengaluru. The US-based aircraft maker said this was ""a testament to our firm commitment to #MakeInIndia."" Boeing has contracted WIN to manufacture strut assemblies for 737 MAX and next generation 737 airplane programmes. ",11 Jan,Arshiya Chopra
Mahindra suggests gift for tea selling couple who toured 23 nations,"Billionaire Anand Mahindra has suggested crowdsourcing the funding for the next trip of a Kochi-based tea shop owner couple. Vijayan and Mohana have travelled to 23 countries with the money earned from the shop and by taking bank loans. ""We can tell them that the present is in return for their teaching us about the gift of life,"" Mahindra tweeted.",11 Jan,Gaurav Shroff
Not a political film: Producer Sandip on Modi biopic,"Speaking about the upcoming biopic based on the life of Prime Minister Narendra Modi, the film's producer Sandip Ssingh said, ""It’s not a political film."" ""We are telling a human story. The rest is on people how they take it,"" the producer added. Actor Vivek Oberoi will be portraying PM Modi's character in the forthcoming biopic.",11 Jan,Gaurav Shroff
Virat and Deepika listed most valuable Indian celebrities,Virat Kohli has topped the celebrity brand valuation list of Duff & Phelps with a brand value of $170.9 million and following him is Deepika Padukone with a brand value of $102.5 million. Akshay Kumar is in the third position with a brand value of $67.3 million while Ranveer Singh has bagged the fourth position with $63 million brand value.,11 Jan,Arshiya Chopra
'First' openly gay Latin rapper shot dead in Puerto Rico,"Kevin Fret, who was known as the first openly gay Latin rapper, was shot dead in San Juan, Puerto Rico. The 24-year-old singer was shot at eight times on Thursday while he was riding a motorcycle at about 5:30 am, as per reports. Kevin was then taken to a hospital where he was pronounced dead, reports further said. ",11 Jan,Arshiya Chopra
I connect with women directors on a personal level: Vikrant,"Speaking about working with women directors, actor Vikrant Massey said he could ""undeniably connect with them on a...personal level"". ""I love working with women directors because of their emotional functionality,"" the actor added. Vikrant featured in filmmaker Zoya Akhtar's 2015 film 'Dil Dhadakne Do', as well as director Alankrita Shrivastava's 'Lipstick Under My Burkha', which released in 2017.",11 Jan,Nandini Sinha
'The Accidental...' halted in Kolkata theatre amid protests,"The screening of the film 'The Accidental Prime Minister' was cancelled at Kolkata's Hind Cinema due to security concerns amid protests by Youth Congress activists. Close to 100 activists protested in front of the theatre, West Bengal Youth Congress President Shadab Khan said. The show was reportedly halted after the first ten minutes of the film were screened. ",11 Jan,Nandini Sinha
"Kohli, Shastri receive honorary membership of SCG",Indian captain Virat Kohli and coach Ravi Shastri received the honorary membership of the Sydney Cricket Ground (SCG) ahead of the India-Australia ODI series. Kohli and Shastri will hence join the likes of Sachin Tendulkar and Brian Lara of the West Indies to have received the honorary membership of the Sydney Cricket Ground. ,11 Jan,Krishna Veera Vanamali
New Zealand beat Sri Lanka by 35 runs in the sole T20I,"New Zealand went from 55/5 to 179/7 to register a 35-run win over Sri Lanka in the sole T20I between the sides on Friday. New Zealand, who added 122 runs in the last 10 overs, were helped by Doug Bracewell's 26-ball 44 which included a single four and five sixes. Sri Lankan captain Lasith Malinga picked two wickets.",11 Jan,Krishna Veera Vanamali
Head of Japan's Olympic Committee under investigation,"The President of Japan's Olympic Committee, Tsunekazu Takeda, is under formal investigation by French prosecutors for suspected corruption related to Japan's successful bid to host the 2020 Olympic Games. Takeda had earlier said no improper actions such as bribery had taken place in connection with Tokyo's Olympic Games bid and that he had not been indicted by French authorities.",11 Jan,Krishna Veera Vanamali
Investor sues Google Founders for sexual harassment cover-up,"Shareholder James Martin has filed a lawsuit against Google-parent Alphabet's board including Google Co-founders Larry Page and Sergey Brin, for allegedly covering up sexual harassment by many senior executives. This comes after reports said Android Co-founder had received a $90-million payout despite sexual harassment accusations. The lawsuit is seeking the return of executives' exit packages.",11 Jan,Krishna Veera Vanamali
Badal playing with religious sentiments of people: Punjab CM,"Punjab CM Captain Amarinder Singh has accused Union Minister Harsimrat Kaur Badal of playing with people's religious sentiments to ""promote vested interests of the Badals"". This comes days after Badal said the Punjab government is not commencing land acquisition for construction of Kartarpur corridor. ""She has once again put her foot in her mouth without doing her homework,"" Singh added. ",11 Jan,Krishna Veera Vanamali
From time to time a CBI probe should happen: Akhilesh Yadav,"After reports claimed Samajwadi Party President Akhilesh Yadav may be questioned by CBI in an illegal mining case, Akhilesh said, ""From time to time a probe should happen, it helps in updating papers, documentation."" He added, ""A CBI probe will not be the first time for us... Question us asap so now we can get busy with polls."" ",11 Jan,Krishna Veera Vanamali
Andhra to get special status if Cong wins: Rahul Gandhi,"Addressing a gathering of Indian workers in Dubai, Congress President Rahul Gandhi on Friday said, ""We will give special category status to Andhra Pradesh."" ""It's the first thing we will do after coming to power in 2019,"" he added. Rahul further praised the workers, saying that they ""helped India, Indian states and poor people"".",11 Jan,Rahel Philipose
Cong ready to fight elections alone in UP: Party leader,"Senior Congress leader Rajiv Bakshi on Friday said, ""We...are ready to fight the coming elections alone in Uttar Pradesh."" ""We alone have 45 seats in the Lok Sabha and it is any day many more than the regional players,"" he added. This comes amid speculations of Samajwadi Party and Bahujan Samaj Party forming an alliance in UP.",11 Jan,Rahel Philipose
Elon Musk shares first pic of SpaceX Starship test rocket,"SpaceX Founder Elon Musk has shared the first image of the 30-foot-wide Starship test flight rocket, saying, ""This is an actual picture, not a rendering."" The current Starship, previously called the 'Big Falcon Rocket', is a suborbital version designed for vertical take-off and landing tests. Musk aims to launch the Starship's orbital version for missions to the Moon and Mars.",11 Jan,Deepshikha Yadav
'The country is a prison': UN on N Korea human rights abuses,"Expressing concerns over the human rights abuses in North Korea, UN Special Rapporteur on the situation of human rights in North Korea, Tomás Ojea Quintana quoted a source as saying that ""the whole country is a prison"". ""In all areas related to the enjoyment of economic and social rights, much of the country's population is being left behind,"" Quintana added.",11 Jan,Deepshikha Yadav
"Canada, Australia in talks with UN to grant asylum to Saudi girl","Canada, Australia and several other countries are in talks with the United Nations (UN) to grant asylum to Saudi Arabia's 18-year-old Rahaf Mohammed al-Qunun who fled her alleged abusive family, Thai police said. Rahaf was granted refugee status by the UN earlier this week. She is currently under the care of the UN refugee agency, UNHCR, in Thailand.",11 Jan,Rahel Philipose
"Ex-CBI chief quits IPS, refuses to take role of DG Fire Services","Alok Verma has refused to take charge as Director General, Fire Services after he was removed and transferred from the post of CBI Director. Verma also resigned from the Indian Police Service. ""Natural justice was scuttled and the entire process was turned upside down in ensuring that the undersigned is removed from the post of Director CBI,"" his statement read.",11 Jan,Arshiya Chopra
"Pandya, Rahul suspended pending inquiry over comments on women","Indian cricketers Hardik Pandya and KL Rahul have been suspended pending an inquiry over their offensive comments on women in 'Koffee with Karan', CoA chief Vinod Rai said. This comes after CoA member Diana Edulji sought opinion from BCCI's legal cell following Rai's recommendation of a two-match ban. Their remarks on the show were also condemned by captain Virat Kohli.",11 Jan,Arshiya Chopra
Shareef tha voh bechara: Anupam Kher's mother on Manmohan Singh,"In a video shared by Anupam Kher asking his mother if she liked his portrayal of ex-PM Manmohan Singh in 'The Accidental Prime Minister', she replied, ""Aisa shareef tha voh bechara (he was a decent man)."" ""He looks decent from a distance. That's why people think decent people are stupid. They don't know such people are very sharp,"" she added.",11 Jan,Anmol Sharma
Interim CBI chief Rao cancels all transfer orders by Alok Verma,"Interim CBI director M Nageswara Rao on Friday cancelled all transfer decisions taken by Alok Verma during his two days in office after a 77-day forced leave. Verma, who resumed duty as CBI Director on Wednesday, had signed nearly 24 transfer orders and reversed most transfer orders by Rao before being sacked by a PM Narendra Modi-led panel on Thursday.  ",11 Jan,Anmol Sharma
Is deewar ka saaf mann aur hriday bhi hai: Sehwag wishes Dravid,"Wishing ex-India captain Rahul Dravid on his 46th birthday, former batsman Virender Sehwag tweeted, ""Deewaron ke bhi kaan hote hain, is deewar ka bahut saaf Mann aur hriday bhi hai! (#TheWall too has ears...this one has a pure mind and a heart as well)."" ""A joy to have played with him and made so many wonderful memories together,"" he added.",11 Jan,Arshiya Chopra
"MP school principal calls CM Kamal Nath 'daku', suspended","The headmaster of a government school in Madhya Pradesh's Jabalpur was suspended on Thursday after a video showing him call CM Kamal Nath a ""daku"" (dacoit) went viral online. Several Congress workers had complained about the incident, following which Jabalpur District Collector Chhavi Bhardwaj ordered the suspension. The headmaster was found to have violated the MP Civil Services (Conduct) Rules.",11 Jan,Arshiya Chopra
ISRO wants women astronauts also in Dec 2021 space mission: Chief,"ISRO Chairman K Sivan has said the agency is aiming to launch India's first human space mission by December 2021, adding it wants to train both male and female astronauts. Sivan added initial training will be done in India and advanced training will most likely be in Russia. ISRO will perform two unmanned missions before manned mission, he further said.",11 Jan,Gaurav Shroff
UK High Commission gets consular access to Christian Michel,"The British High Commission in India has got consular access to AgustaWestland scam accused middleman Christian Michel, who was brought to Delhi from the United Arab Emirates on December 4. ""Our staff are supporting a British man who is detained in India, and have visited him to check his welfare,"" the High Commission said in a statement. ",11 Jan,Gaurav Shroff
US begins withdrawal from Syria after ISIS' 'defeat',"The US-led military coalition has begun withdrawing equipment from Syria, its spokesperson said on Friday. US President Donald Trump had ordered the withdrawal of all troops last month after claiming that the Islamic State militant group has been defeated in Syria. Around 2,000 American troops are believed to be stationed in Syria.",11 Jan,Anmol Sharma
Chinese farmer builds Airbus A320 replica to fulfil childhood dream,"A Chinese farmer-turned-mechanic has constructed a life-sized Airbus A320 replica to fulfil his childhood dream of owning a plane. It took Zhu Yue two years and $400,000 to build the replica, which has been made from over 50 tons of steel. The engine 'turbines' in the replica can actually spin, however, the aircraft replica does not fly.",11 Jan,Anmol Sharma
Singapore Airlines fires pilot for failing pre-flight alcohol test,"Singapore Airlines has fired a pilot for failing an alcohol test in September 2018 before a flight from Melbourne, Australia. The pilot's termination came after a random check by Australia's Civil Aviation Safety Authority found ""higher than suitable blood alcohol limit"". In November, an Air India pilot's flying licence was suspended for three years after he failed two breathalyser tests.",11 Jan,Aarushi Maheshwari
My dad has hundreds of crores with him: Raymond's Gautam Singhania,"Amid the ongoing property dispute with his estranged father Vijaypat Singhania, Raymond CMD Gautam Singhania said his father has ""hundreds of crores with him"". He added that he'll be ""indebted to anyone for life"" who can convince his father to stay with him. A Mumbai court recently dismissed Gautam's plea for an injunction against his father's autobiography, 'The Incomplete Man'.",11 Jan,Aarushi Maheshwari
Rhea Kapoor to marry rumoured boyfriend Karan Boolani: Report,"Sonam Kapoor's sister Rhea Kapoor will get married to her rumoured boyfriend Karan Boolani by the end of this year, as per reports. ""Anil [Kapoor] has already accepted Karan as part of his family. He's as close to Karan as he is to...Anand Ahuja. Marriage would be just a formality but one that Anil is looking forward to,"" stated reports.",11 Jan,Gaurav Shroff
Being best entertainer is my single point agenda: Ranveer,"Ranveer Singh has said that he wants to be the best entertainer, adding, ""It's a single point agenda for me and personal ambition."" ""It is not about the numbers for me, it is basically to entertain people, to entertain as many as I can and as much as possible. I keep that purpose of life,"" added the actor.",11 Jan,Gaurav Shroff
Deepika's battle with depression included in book for kids,"Actress Deepika Padukone's battle with depression has been written about in an upcoming children's book that showcases the stories of 51 Indian women. ""From the acting community, Deepika emerged as a unanimous choice,"" the book's co-author Lakshmi Nambiar said. The book titled 'The Dot That Went For A Walk', is jointly written by Lakshmi Nambiar, Reema Gupta, and Sarada Akkineni. 
",11 Jan,Aarushi Maheshwari
Sushant to star in Bhandarkar's 'Inspector Ghalib': Reports,"Sushant Singh Rajput will be starring in Madhur Bhandarkar's next film based on sand mafias titled 'Inspector Ghalib', as per reports. The story, which is inspired by real-life events, is based in Uttar Pradesh and the major part of the film will be shot there, reports suggested. ""'Inspector Ghalib' is the story of a cop,"" stated reports.",11 Jan,Aarushi Maheshwari
Words like jingoism are used for shaming these days: Kangana,"Kangana Ranaut has said words like ""chest-thumping nationalism and jingoism"" are used for shaming these days. Talking about lyricist Prasoon Joshi who wrote a song for her upcoming film 'Manikarnika: The Queen of Jhansi', she said, ""How beautifully Prasoon sir said, one should not be shamed for whichever kind of love one has."" Kangana's film will release on January 25.",11 Jan,Nandini Sinha
"BCCI announces schedule for T20I, ODI series with Aus at home","BCCI on Thursday announced the schedule for the home series against Australia set to take place in February-March. The T20I series starts in Bengaluru on February 24, while the ODI series will start from March 2 in Hyderabad. This will be the second time in three years that Australia will be touring India for a limited-overs series.",11 Jan,Nandini Sinha
Rahul crying more than Alok Verma in CBI matter: BJP Leader,"BJP leader GVL Narasimha Rao on Friday said, “Rahul Gandhi is crying more than Alok Verma in CBI matter."" ""The real investigation that is going on in the CBI is AgustaWestland and other defence deals,"" he added. He further said that Congress is intervening in the CBI debate because the party is worried that CBI is ""getting at the truth"".",11 Jan,Ankush Verma
